JobName : 643494-1-1-XWafer_YWafer
SerialNum : 643494-1-1-XWafer ; 643494-1-1-YWafer
DateTime : August 1, 2025 09:27:17 EDT
OperatorName : bmowry
LaserID : Renishaw 1 : Mirror 1
StageLabel : ALS20035-ES15925-03 ; ALS20035-ES15925-04
Calibrated : 1 ; 1
CoefficientOfThermalExpansion : 7.5 ; 7.5
ControllerVerison : Automation1 2.10.2
Iterations : 1
BiDirectional : 0
ConversionFactor : 1
BacklashDistance : 0 ; 0
CountsPerUnit : 100000 ; 100000
TestType : Accuracy2D
OpticLocation : 25.4mm above TWafer tt
Payload : 1.4kg
CalibrationFile : None
HomePositionSet : 0 ; 0
TestOrientation : Lower Axis ; Upper Axis
MotionDirection : 1 ; 1
AmplifierType : ACBrushlessLinear Rev(-) @ 7.3 Amps ; ACBrushlessLinear Rev(-) @ 7.3 Amps
MoveVelocity : 5
MoveAcceleration : 75
AxisIndex : 6 ; 5
EncoderFamily : I ; I
HomeOffset : -148.659945 ; -199.206036
HomeDirection : U ; U
GantryAxes : -1 ; -1
StageSerialNumber : 518496-01 ; 518497-01

DBase Info
DriveEncoderMultiplier : 2000 ; 2000
DriveFeedbackType : Incremental Encoder Sine Wave ; Incremental Encoder Sine Wave
StepSize : 5 ; 5
TestLength : 350 ; 350
FirmwareVersion : 2.10.2.2512

Ignored

       Position1         LaserData1       Position2         LaserData2   AirTemp   MatTemp  Pressure  Humidity
:START
    335.00000000          334.99944      0.00000000           -0.15485     21.15     21.31    740.01     66.00
    340.00000000          339.99936      0.00000000           -0.15661     21.15     21.31    740.01     66.00
    345.00000000          344.99903      0.00000000           -0.15836     21.15     21.31    740.01     66.00
    350.00000000          349.99880      0.00000000           -0.15959     21.15     21.31    740.01     66.00
      0.00000000            0.00247      5.00000000            4.99807     21.15     21.31    740.01     66.00
      5.00000000            5.00250      5.00000000            4.99650     21.15     21.31    740.01     66.00
     10.00000000           10.00280      5.00000000            4.99466     21.15     21.31    740.01     66.00
     15.00000000           15.00245      5.00000000            4.99253     21.15     21.31    740.01     66.00
     20.00000000           20.00219      5.00000000            4.98996     21.15     21.31    740.01     66.00
     25.00000000           25.00244      5.00000000            4.98768     21.15     21.31    740.01     66.00
     30.00000000           30.00232      5.00000000            4.98596     21.15     21.31    740.01     66.00
     35.00000000           35.00217      5.00000000            4.98393     21.15     21.31    740.01     66.00
     40.00000000           40.00213      5.00000000            4.98207     21.15     21.31    740.01     66.00
     45.00000000           45.00225      5.00000000            4.98021     21.15     21.31    740.01     66.00
     50.00000000           50.00225      5.00000000            4.97843     21.15     21.31    740.01     66.00
     55.00000000           55.00207      5.00000000            4.97618     21.15     21.31    740.01     66.00
     60.00000000           60.00204      5.00000000            4.97435     21.15     21.31    740.01     66.00
     65.00000000           65.00247      5.00000000            4.97210     21.15     21.31    740.01     66.00
